이름,태그,참고 자료 링크
캐리,"최상위 비트에서 그 위의 비트로 자리올림이 발생하는 것, 오류 발생과는 관계 없음",
오버플로우,"연산 결과 값이 주어진 비트 수로 표현될 수 있는 범위를 넘긴 것, 오류 발생을 의미함",
CPU 아키텍쳐,CPU 아키텍처 종류에 관한 설명,
계층화 아키텍쳐,,
PE(Portable Executable),"윈도우에서 실행 가능한 파일들의 파일 형식 (EXE, DLLL)",
부동 소수점 (바이어스 표현법),float의 메모리 적제 방식,
