이름,자료링크,비고
경성대 컴공과 교수 블로그,https://blog.naver.com/PostList.naver?blogId=hjyang0&parentCategoryNo=6,"컴퓨터 구조, 운영 체제 등의 강의가 올라와있음"
SWING/컴퓨터구조,https://hyk0425.tistory.com/category/SWING/%EC%BB%B4%ED%93%A8%ED%84%B0%EA%B5%AC%EC%A1%B0,컴퓨터 구조
레스토랑에 비유해서 알아보는 운영체제,https://wormwlrm.github.io/2021/10/04/OS-Restaurant.html,운영체제
컴파일러는 어떻게 내가 작성한 코드를 인식하는걸까?,https://wormwlrm.github.io/2021/04/18/Formal-Language-and-Compiler.html,컴파일러
Async/Await은 어떻게 동작하는가?,https://devblogs.microsoft.com/dotnet/how-async-await-really-works/,C# 내부 구현
